=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2043041 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2044295 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2045549 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2046803 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2048057 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2049311 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2050565 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2051819 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2053073 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2054327 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2055581 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2056835 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2058089 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2059343 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2060597 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2061851 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2063105 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2064359 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2065613 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2066867 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2068121 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2069375 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2070629 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2071883 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2073137 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2074391 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2075645 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2076899 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2078153 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2079407 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2080661 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2081915 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2083169 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2084423 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2085677 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2086931 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2088185 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2089439 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2090693 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2091947 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2093201 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2094455 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2095709 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2096963 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2098217 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2099471 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2100725 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2101979 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2103233 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2104487 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2105741 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2106995 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2108249 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2109503 cnt=0000 reload=FB1A ctl=0080
