=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2193525 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2194779 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2196033 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2197287 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2198541 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2199795 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2201049 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2202303 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2203557 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2204811 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2206065 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2207319 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2208573 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2209827 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2211081 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2212335 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2213589 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2214843 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2216097 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2217351 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2218605 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2219859 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2221113 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2222367 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2223621 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2224875 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2226129 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2227383 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2228637 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2229891 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2231145 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2232399 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2233653 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2234907 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2236161 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2237415 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2238669 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2239923 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2241177 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2242431 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2243685 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2244939 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2246193 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2247447 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2248701 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2249955 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2251209 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2252463 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2253717 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2254971 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2256225 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2257479 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2258733 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2259987 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2261241 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2262495 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2263749 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2265003 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2266257 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2267511 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2268765 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2270019 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2271273 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2272527 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2273781 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2275035 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2276289 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2277543 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2278797 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2280051 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2281305 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2282559 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2283813 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2285067 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2286321 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2287575 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2288829 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2290083 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2291337 cnt=0000 reload=FB1A ctl=0080
