=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2945921 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2947175 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2948429 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2949683 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2950937 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2952191 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2953445 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2954699 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2955953 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2957207 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2958461 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2959715 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2960969 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2962223 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2963477 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2964731 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2965985 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2967239 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2968493 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2969747 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2971001 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2972255 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2973509 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2974763 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2976017 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2977271 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2978525 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2979779 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2981033 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2982287 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2983541 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2984795 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2986049 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2987303 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2988557 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2989811 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2991065 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2992319 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2993573 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2994827 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2996081 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2997335 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2998589 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2999843 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=3001097 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=3002351 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=3003605 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=3004859 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=3006080 pc=00000348 cpsr=2000005F return=0000034C
TMR overflow t=0 cyc=3006113 cnt=0000 reload=FB1A ctl=0080
